Semilla,Evaluaciones,Kilometros
0.0,1.0,574.5513854177129
13961564.0,100.0,415.8519078566162
13961564.0,571.0,407.16281079103175
13961564.0,383.0,710.6216337716162
13961564.0,3174.0,389.32687726364446
190879351.0,100.0,419.7459760653123
190879351.0,339.0,399.8354851370997
190879351.0,337.0,680.8811777031481
190879351.0,3189.0,394.8516793208953
98576233.0,100.0,409.5387713060216
98576233.0,646.0,420.0976456927815
98576233.0,424.0,676.9778304021888
98576233.0,3195.0,397.4951377643274
45672790.0,100.0,412.8582687374047
45672790.0,369.0,403.56673217680606
45672790.0,429.0,687.715914373544
45672790.0,3190.0,399.6072950602613
190879351.0,100.0,419.7459760653123
190879351.0,339.0,399.8354851370997
190879351.0,337.0,680.8811777031481
190879351.0,3189.0,394.8516793208953
