,Semilla,Algoritmo,Kilometros,Evaluaciones,Solucion
0,101458323,Local_search,582.173,1320,[ 7  8 13 14 17 13 12 14 11 14 13 21  8 13 16 26]
0,101458323,VNS_Search,558.64,8572,[14  8 13 14 16 14 12  9 11 15 16 25  8 13 16 16]
0,101458323,Basic_G,506.023,14424,[17  9 17 14 17 14 13 12  8 13 12 19  8 13 15 14]
0,101458323,Multinode_G,506.511,60120,[12 10 16 13 20 14 12 12  8 14 12 18  8 13 15 18]
0,101458323,CHC,561.827,57840,[18  7 15  6 16 13 10  9 18 19 14 18  8 13 15 14]
0,147642782,Local_search,578.78,953,[13  7 13 14 15 13 11  9 10 14 16 20  8 13 19 25]
0,147642782,VNS_Search,588.266,5286,[12  7 13 12 15 13  9 11 11 13 17 20  8 13 16 30]
0,147642782,Basic_G,507.417,14424,[11 10 16 15 20 14 14 12  8 12 13 18  8 13 15 16]
0,147642782,Multinode_G,503.128,60120,[18  9 17 14 18 14 12 12  8 12 12 19  8 13 15 14]
0,147642782,CHC,554.513,59160,[ 8  8 18 19 12 15  8  9  9 10 22 23 10 13 15 15]
