seed,alpha,best_solution,best_solution_kms,best_solution_slots
150133372,1.2,[20 12 35 22 28 13 21 14 19 26 28 48  8 18 39 44],99.161,395
34812062,1.2,[22 12 47 31 25 13 21 12 22 26 42 38  8 24 21 24],97.316,388
108102679,1.2,[22 12 38 41 30 14 20 12 14 35 37 48  8 29 35 39],98.325,434
149065592,1.2,[24 41 38 20 33 31 23 12 24 29 39 42 35 22 36 29],125.985,478
49597504,1.2,[22 33 33 28 53 37 34 16 15 27 30 35 35 38 22 29],127.057,487
45204113,1.2,[22 15 34 31 22 32 14 12 21 38 44 52  8 19 23 33],98.89,420
4622414,1.2,[22 12 47 36 42 14 16 12 10 29 26 53  8 26 24 33],101.15,410
68270573,1.2,[48 17 36 18 43 14 15 14 16 31 35 37  8 37 45 26],105.079,440
7450428,1.2,[18 15 48 21 36 14 17 16 58 25 36 41  8 19 32 23],104.554,427
148246477,1.2,[22 11 33 34 22 13 22 12 14 29 44 34  8 20 32 45],97.356,395
150133372,1.6,[21 14 37 31 33 32 13 13 23 36 51 42 10 20 33 28],102.543,437
34812062,1.6,[22 11 40 36 27 13 22 12 21 26 35 43  8 29 37 30],97.356,412
108102679,1.6,[22 12 36 32 21 14 20 12 30 24 40 38  8 25 35 23],98.325,392
149065592,1.6,[21 16 42 45 23 32 13 13 21 28 50 49  8 26 42 23],99.976,452
49597504,1.6,[22 13 37 26 24 13 20 12 29 41 36 41  8 17 53 25],98.503,417
45204113,1.6,[22 13 39 39 22 13 20 12 16 22 42 41  8 15 24 21],98.503,369
4622414,1.6,[22 12 48 25 34 14 20 12 19 22 34 54  8 31 30 20],98.325,405
68270573,1.6,[21 15 43 19 42 28 12 13 31 41 37 61  9 19 31 22],103.968,444
7450428,1.6,[21 11 39 30 24 14 21 13 16 26 28 35  8 35 40 32],99.288,393
148246477,1.6,[22 11 32 27 21 13 22 12 12 37 48 39  8 15 31 21],97.356,371
150133372,2.0,[22 10 47 23 29 14 22 12 35 25 43 34  8 35 29 39],98.405,427
34812062,2.0,[22 12 35 61 25 13 21 12 15 35 28 35  8 24 25 43],97.316,414
108102679,2.0,[22 10 35 21 30 14 22 12 18 32 38 36  8 16 27 42],98.405,383
149065592,2.0,[22 42 39 22 16 32 47 16 11 27 28 45 16 15 23 26],127.057,427
49597504,2.0,[19 11 38 20 35 14 21 15 20 27 28 36  8 25 31 31],101.133,379
45204113,2.0,[28 13 31 40 21 14 19 14 17 32 28 37  8 35 45 25],103.401,407
4622414,2.0,[20 15 37 21 42 14 17 14 10 32 31 35  8 20 36 50],102.71,402
68270573,2.0,[22 14 63 23 51 32 15 12 25 32 39 35  8 24 20 39],98.726,454
7450428,2.0,[21 11 34 43 21 14 21 13 37 41 33 43  8 27 20 29],99.288,416
148246477,2.0,[54 17 39 29 32 32 11 14 22 29 43 42  9 23 20 41],103.938,457
